Date,ReleasedProcessedConsumptionKWh,MinimumHomesPresent,MaximumHomesPresent,Minutes,ReleasedGridComplete,ReleasedGridCompleteConsumptionKWh,AmbientTemperatureC
2020-07-13,216.97161779837774,20,20,1440,True,216.97161779837774,14.420208333333333
2020-07-14,201.47204446189625,20,20,1440,True,201.47204446189625,13.60032638888889
2020-07-15,237.94667773972603,20,20,1440,True,237.94667773972603,14.330152777777776
2020-07-16,218.18770703703703,20,20,1440,True,218.18770703703703,15.262444444444442
2020-07-17,231.74909796296296,20,20,1440,True,231.74909796296296,15.86401388888889
2020-07-18,251.93415,20,20,1440,True,251.93415,14.434958333333334
2020-07-19,236.094835,20,20,1440,True,236.094835,13.969930555555557
2020-07-20,242.42172000000002,20,20,1440,True,242.42172000000002,13.164419444444444
2020-07-21,234.44614833333335,20,20,1440,True,234.44614833333335,13.60818125
2020-07-22,242.30030666666667,20,20,1440,True,242.30030666666667,16.0084375
2020-07-23,241.63514500000002,20,20,1440,True,241.63514500000002,14.978618055555556
2020-07-24,248.639195,20,20,1440,True,248.639195,15.35045138888889
2020-07-25,260.78544,20,20,1440,True,260.78544,14.999215277777777
2020-07-26,257.956875,20,20,1440,True,257.956875,14.678652777777776
2020-07-27,227.24671999999998,20,20,1440,True,227.24671999999998,15.095694444444444
2020-07-28,224.755845,20,20,1440,True,224.755845,14.476222222222221
2020-07-29,251.04266,20,20,1440,True,251.04266,14.524729166666667
2020-07-30,244.96955000000003,20,20,1440,True,244.96955000000003,16.967020833333333
2020-07-31,240.91995500000002,20,20,1440,True,240.91995500000002,16.241555555555557
2020-08-01,320.72712,20,20,1440,True,320.72712,14.608159722222222
2020-08-02,291.15124,20,20,1440,True,291.15124,14.47509027777778
2020-08-03,308.11916499999995,20,20,1440,True,308.11916499999995,14.98825
2020-08-04,289.992365,20,20,1440,True,289.992365,16.69186111111111
2020-08-05,248.24434999999997,20,20,1440,True,248.24434999999997,15.908611111111112
2020-08-06,215.048985,20,20,1440,True,215.048985,16.638631944444445
2020-08-07,241.19644,20,20,1440,True,241.19644,16.139756944444443
2020-08-08,272.06981,20,20,1440,True,272.06981,14.429326388888889
2020-08-09,281.38321,20,20,1440,True,281.38321,15.49259027777778
2020-08-10,254.644375,20,20,1440,True,254.644375,16.949854166666668
2020-08-11,317.531045,20,20,1440,True,317.531045,16.089534722222222
2020-08-12,331.434185,20,20,1440,True,331.434185,16.629680555555556
2020-08-13,260.56446,20,20,1440,True,260.56446,17.670673611111113
2020-08-14,242.64841000000004,20,20,1440,True,242.64841000000004,18.294666666666668
2020-08-15,267.515235,20,20,1440,True,267.515235,17.314506944444442
2020-08-16,299.97045999999995,20,20,1440,True,299.97045999999995,17.529374999999998
